date,open,close,high,low,volume,company
2012-08-31,196.9600,194.8500,202.0000,193.0200,60653700,IBM
2012-07-31,196.3600,195.9800,197.8400,181.8500,91516500,IBM
2012-06-29,190.1200,195.5800,199.9900,187.0000,84559100,IBM
2012-05-31,207.1800,192.9000,208.9290,192.0000,86005300,IBM
2012-04-30,208.9600,207.0800,210.6900,196.7910,86603000,IBM
2012-03-30,197.2300,208.6500,209.1200,196.8120,88096900,IBM
2012-02-29,193.2100,196.7300,199.2300,190.8310,78809900,IBM
2012-01-31,186.7300,192.6000,193.1000,177.3472,110015000,IBM
2011-12-30,187.0100,183.8800,194.9000,179.0400,103436500,IBM
2011-11-30,181.5500,188.0000,189.9700,177.0600,97014100,IBM
2011-10-31,174.3600,184.6300,190.5300,168.8800,144563700,IBM
2011-09-30,172.7100,174.8700,180.9100,158.7600,137895000,IBM
2011-08-31,182.6000,171.9100,183.6900,157.1300,195054100,IBM
2011-07-29,171.6100,181.8500,185.6300,171.4900,113593200,IBM
2011-06-30,168.9000,171.5500,172.4468,161.5200,105442400,IBM
2011-05-31,172.1100,168.9300,173.5400,165.9000,110804200,IBM
2011-04-29,163.7000,170.5800,173.0000,162.1900,100769500,IBM
2011-03-31,163.1500,163.0700,167.7200,151.7100,129714300,IBM
2011-02-28,162.1100,161.8800,166.2500,159.0300,89067500,IBM
2011-01-31,147.2100,162.0000,164.3500,146.6400,118831600,IBM
2010-12-31,143.6100,146.7600,147.5000,143.5100,93392800,IBM
2010-11-30,143.6400,141.4600,147.5300,141.1800,104096700,IBM
2010-10-29,135.5100,143.6000,144.0000,134.3900,137284700,IBM
2010-09-30,125.3100,134.1400,136.1100,124.5200,116092900,IBM
2010-08-31,129.2500,123.1300,132.4900,122.2800,117394000,IBM
2010-07-30,123.5500,128.4000,131.6000,120.6100,144080000,IBM
2010-06-30,124.6900,123.4800,131.9400,122.8200,162019100,IBM
2010-05-28,129.3900,125.2600,133.1000,116.0000,188444200,IBM
2010-04-30,128.9500,129.0000,132.2800,127.1200,146426400,IBM
2010-03-31,127.5000,128.2500,130.7300,125.2000,139997300,IBM
2010-02-26,123.2300,127.1600,128.2700,121.6100,113211200,IBM
2010-01-29,131.1800,122.3900,134.2500,121.9000,156110600,IBM
2009-12-31,127.2900,130.9000,132.8500,126.0000,124475900,IBM
2009-11-30,120.6100,126.3500,128.9400,119.5000,110748200,IBM
2009-10-30,119.3900,120.6100,128.6100,117.2600,183531100,IBM
2009-09-30,117.6700,119.6100,122.8800,115.1500,131522200,IBM
2009-08-31,118.8800,118.0500,120.8800,116.1200,112480200,IBM
2009-07-31,105.0000,117.9300,119.3700,99.5000,176171400,IBM
2009-06-30,106.9400,104.4200,110.6400,103.5100,160502100,IBM
2009-05-29,103.7800,106.2800,106.8200,99.8300,153084700,IBM
2009-04-30,96.1300,103.2100,106.0500,95.7000,213623100,IBM
2009-03-31,91.1700,96.8900,99.8600,83.0200,286114500,IBM
2009-02-27,90.6000,92.0300,97.1000,82.8500,223017600,IBM
2009-01-30,83.8900,91.6500,94.9400,81.7600,208959400,IBM
2008-12-31,80.9500,84.1600,87.2700,75.3100,188846100,IBM
2008-11-28,92.6400,81.6000,94.7600,69.5000,218313000,IBM
2008-10-31,115.5100,92.9700,116.8000,78.8200,314972000,IBM
2008-09-30,122.8700,116.9600,124.0000,109.9500,218411700,IBM
2008-08-29,128.5200,121.7300,129.9700,121.5000,137028800,IBM
2008-07-31,117.5000,127.9800,130.9300,116.6000,200876500,IBM
2008-06-30,128.6700,118.5300,129.3700,118.1500,152327500,IBM
2008-05-30,121.0600,129.4300,129.9900,120.7800,159517500,IBM
2008-04-30,115.1400,120.7000,125.0000,113.8600,192087200,IBM
2008-03-31,114.0900,115.1400,119.7900,111.8000,179284200,IBM
2008-02-29,107.2100,113.8600,116.6300,100.6000,168280800,IBM
2008-01-31,108.9900,107.1100,108.9900,97.0400,247523900,IBM
2007-12-31,105.4500,108.1000,112.1900,104.0000,134151600,IBM
2007-11-30,115.5000,105.1800,116.0900,99.2700,200920600,IBM
2007-10-31,117.6100,116.1200,121.4600,110.9600,171669000,IBM
2007-09-28,116.3400,117.8000,118.8900,114.3000,132233800,IBM
2007-08-31,110.3900,116.6900,117.3500,103.7000,202871500,IBM
2007-07-31,105.3900,110.6500,118.8200,104.5800,212757600,IBM
2007-06-29,106.6200,105.2500,107.2400,101.5600,169602000,IBM
2007-05-31,102.0600,106.6000,108.0500,101.3500,146441400,IBM
2007-04-30,94.5100,102.2100,103.0000,93.9110,166807200,IBM
2007-03-30,90.2500,94.2600,95.8100,88.7700,163194500,IBM
2007-02-28,98.9700,92.9400,100.4400,92.4700,125776200,IBM
2007-01-31,97.1700,99.1500,100.9000,94.5500,192702000,IBM
2006-12-29,91.9000,97.1500,97.8800,90.5500,104470200,IBM
2006-11-30,92.5000,91.9200,94.0500,90.4300,104430000,IBM
2006-10-31,81.7600,92.3300,92.6800,81.5600,170367300,IBM
2006-09-29,81.1300,81.9400,83.7900,79.3100,102776100,IBM
2006-08-31,76.8600,80.9700,81.6800,74.9000,100880300,IBM
2006-07-31,77.5400,77.4100,78.5300,72.7300,137188300,IBM
2006-06-30,79.8900,76.8200,80.8700,76.0600,139457800,IBM
2006-05-31,82.5900,79.9000,83.6900,79.0000,113146500,IBM
2006-04-28,82.7200,82.3400,84.4500,80.6300,114007000,IBM
2006-03-31,80.0100,82.4700,84.9900,79.5100,111514900,IBM
2006-02-28,80.9000,80.2400,82.2400,78.9300,111052200,IBM
2006-01-31,82.4500,81.3000,85.0300,80.2100,146491600,IBM
2005-12-30,89.1500,82.2000,89.9200,81.5600,120052400,IBM
2005-11-30,81.8500,88.9000,89.9400,80.6400,110664500,IBM
2005-10-31,80.2200,81.8800,84.6000,78.7000,139881800,IBM
2005-09-30,80.1600,80.2200,82.1100,76.9300,115681400,IBM
2005-08-31,83.0000,80.6200,84.2000,79.8700,105031100,IBM
2005-07-29,74.3000,83.4600,85.1100,74.1600,156801500,IBM
2005-06-30,75.5700,74.2000,77.7300,73.4500,135542800,IBM
2005-05-31,76.8800,75.5500,78.1100,72.5000,138416000,IBM
2005-04-29,91.4900,76.3800,91.7600,71.8500,216745500,IBM
2005-03-31,92.6400,91.3800,93.7300,89.0900,106145200,IBM
2005-02-28,93.6700,92.5800,94.9700,91.5500,79707700,IBM
2005-01-31,98.9700,93.4200,99.1000,91.4400,114459000,IBM
2004-12-31,94.5000,98.5800,99.0000,94.4700,108170400,IBM
2004-11-30,89.3300,94.2400,96.6300,89.2300,114982100,IBM
2004-10-29,85.9500,89.7500,90.2700,84.2900,118116100,IBM
2004-09-30,84.0500,85.7400,87.2800,83.2400,93906300,IBM
2004-08-31,86.8700,84.6900,87.3900,81.9000,91169700,IBM
2004-07-30,88.2800,87.0700,88.4400,83.4200,121001000,IBM
2004-06-30,88.0900,88.1500,91.2100,87.3000,91968600,IBM
2004-05-28,88.1300,88.5900,89.7500,85.1200,104707300,IBM
2004-04-30,91.6700,88.1700,94.5500,88.0100,110632000,IBM
2004-03-31,96.5000,91.8400,97.6000,90.2800,124483700,IBM
2004-02-27,99.1500,96.5000,100.4300,95.2000,97741900,IBM
2004-01-30,92.8600,99.2300,99.8500,89.0100,139368500,IBM
2003-12-31,90.9000,92.6800,94.1200,90.0300,116103600,IBM
2003-11-28,89.9000,90.5400,91.4800,87.7200,97966100,IBM
2003-10-31,88.7500,89.4800,94.5400,87.5300,156145400,IBM
2003-09-30,82.4000,88.3300,93.4700,82.3000,171943100,IBM
2003-08-29,81.1500,82.0100,84.7200,78.7300,113895200,IBM
2003-07-31,81.4000,81.2500,87.0300,80.5800,153915600,IBM
2003-06-30,89.0000,82.5000,89.0800,79.8100,184488300,IBM
2003-05-30,85.3000,88.0400,90.4000,84.4500,149548000,IBM
2003-04-30,78.5000,84.9000,86.4900,78.1200,177874300,IBM
2003-03-31,78.9000,78.4300,84.9000,73.1700,191937200,IBM
2003-02-28,78.2000,77.9500,80.0500,74.3100,145672700,IBM
2003-01-31,78.8000,78.2000,88.9500,77.0200,193933500,IBM
2002-12-31,88.6000,77.5000,89.4600,75.6000,151563500,IBM
2002-11-29,78.9000,86.9200,88.1100,76.7000,184438100,IBM
2002-10-31,59.2000,78.9400,79.7900,54.0100,285626300,IBM
2002-09-30,74.2000,58.3100,77.5000,57.9900,185664400,IBM
2002-08-30,70.4000,75.3800,82.8500,65.8500,166322300,IBM
2002-07-31,72.0100,70.4000,74.2000,65.7000,246256900,IBM
2002-06-28,80.7500,72.0000,80.9500,66.1000,190980700,IBM
2002-05-31,83.8500,80.4500,86.4900,75.9200,172738400,IBM
2002-04-30,104.0000,83.7600,104.0000,83.3400,246503300,IBM
2002-03-28,98.6000,104.0000,108.8500,98.5000,151268500,IBM
2002-02-28,107.6400,98.1200,109.3000,95.7600,172321000,IBM
2002-01-31,120.6000,107.8900,126.3900,101.0000,193562900,IBM
2001-12-31,114.8000,120.9600,124.7000,113.2100,133393800,IBM
2001-11-30,107.2500,115.5900,117.0000,106.9000,135136300,IBM
2001-10-31,91.7200,108.0700,112.1000,91.3400,224351500,IBM
2001-09-28,100.1500,91.7200,103.1300,87.4900,189312500,IBM
2001-08-31,105.3500,99.9500,110.0900,98.8600,143401500,IBM
2001-07-31,113.5000,105.2100,115.4000,101.5600,161016400,IBM
2001-06-29,112.5000,113.5000,119.0000,111.1000,142929700,IBM
2001-05-31,115.8500,111.8000,119.9000,110.9600,159356200,IBM
2001-04-30,97.4500,115.1400,118.0500,90.0500,226210900,IBM
2001-03-30,99.3000,96.1800,108.4000,87.6500,254550000,IBM
2001-02-28,112.4000,99.9000,118.6400,99.1000,156438900,IBM
2001-01-31,84.5000,112.0000,116.7500,83.7500,198962600,IBM
2000-12-29,94.4400,85.0000,104.7500,80.0600,167790700,IBM
2000-11-30,98.4400,93.5000,104.3700,91.6200,130411900,IBM
2000-10-31,112.6200,98.5000,119.6200,86.9400,223510000,IBM
2000-09-29,133.0600,112.6200,134.9400,110.2500,107468400,IBM
2000-08-31,112.0000,132.0200,134.2500,110.2500,121998000,IBM
2000-07-31,108.7500,112.2500,117.8100,100.0000,150130400,IBM
2000-06-30,107.5600,109.5600,122.3100,105.5000,136216300,IBM
2000-05-31,112.5000,107.3100,113.6200,102.0000,123803200,IBM
